pathway,pathway_direction,pathway_median_d,reaction_id,reaction_name,cohens_d,p_value,significant,genes,n_genes,ec_number
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00934_pos,No name available,-2.709033292184608,0.003587016951612497,True,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4a10; Cyp4a12a; Cyp4a12b; Cyp4a31; Cyp4a32; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,35,1.14.14.1;1.14.15.3
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00935_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00936_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00937_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00938_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00939_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00940_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00942_pos,No name available,-2.709033292184608,0.003587016951612497,True,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00943_pos,No name available,-2.2639302646437502,0.013156634822295656,True,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00944_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00945_pos,"5,6-EET hydrolase",1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00946_pos,No name available,-2.709033292184608,0.003587016951612497,True,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00947_pos,No name available,-2.2639302646437502,0.013156634822295656,True,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00948_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00949_pos,"8,9-EET hydrolase",1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00950_pos,No name available,-2.583484680951354,0.003587016951612497,True,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00951_pos,No name available,-2.0524727275825945,0.013156634822295656,True,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00953_pos,"11,12-EET hydrolase",1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00954_pos,No name available,-2.583484680951354,0.003587016951612497,True,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00955_pos,No name available,-2.0524727275825945,0.013156634822295656,True,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00956_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00957_pos,"14,15-EET hydrolase",1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00958_pos,Arachidonate:oxygen 5-oxidoreductase,-2.550796798192549,0.003587016951612497,True,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00959_pos,arachidonate:oxygen 5-oxidoreductase,-2.5840024613805146,0.003587016951612497,True,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00960_pos,Glutathione: 5-HPETE oxidoreductase,-2.6018489297545457,0.003587016951612497,True,Gpx1; Gpx2; Gpx3; Gpx4; Gpx5; Gpx6; Gpx7; Gpx8; Prdx6,9,1.11.1.9
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00961_pos,No name available,-0.36751745518995144,0.9697593644218446,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00963_pos,Glutathione: 5-HPETE oxidoreductase,-1.584181853893437,0.04554114038133258,True,Gpx1; Gpx2; Gpx3; Gpx4; Gpx5; Gpx6; Gpx7; Gpx8; Prdx6,9,1.11.1.9
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00964_pos,No name available,-1.2698545246822304,0.08668985278367534,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00967_pos,No name available,-0.1089925410262383,1.0,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00969_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp4f14; Cyp4f18; Cyp4f39; Cyp4f40,4,1.14.13.30
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00971_pos,No name available,0.35650033830939837,0.5862778227443934,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00973_pos,No name available,-1.381185646664345,0.06965583282873238,False,Cbr1; Cbr3; Dhrs4,3,1.1.1.184
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00976_pos,No name available,-0.35126727982656375,0.9177033047207391,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00980_neg,No name available,1.0919874112514403,0.06965583282873238,False,Cbr1; Cbr3; Dhrs4,3,1.1.1.184
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00981_pos,No name available,1.0919874112514403,0.06965583282873238,False,Cyp4f14; Cyp4f18; Cyp4f39; Cyp4f40,4,1.14.13.30
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00983_pos,arachidonate:oxygen 15-oxidoreductase,-1.1052891202711865,0.08668985278367534,False,Alox15; Alox8,2,1.13.11.33
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00985_pos,arachidonate:oxygen 15-oxidoreductase,1.2141289528487096,0.12740389581935602,False,Alox15; Alox8,2,1.13.11.33
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00986_pos,arachidonate:oxygen 15-oxidoreductase,1.2473184008714102,0.06965583282873238,False,Alox15; Alox8,2,1.13.11.33
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00987_pos,arachidonate:oxygen 15-oxidoreductase,1.2473184008714102,0.06965583282873238,False,Alox15; Alox8,2,1.13.11.33
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00991_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00992_neg,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00993_neg,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00994_neg,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00995_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ptgs1; Ptgs2,2,1.14.99.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00996_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ptgs1; Ptgs2,2,1.14.99.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00997_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ptgs1; Ptgs2,2,1.14.99.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00998_pos,No name available,1.2473184008714102,0.06965583282873238,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00999_pos,No name available,1.2473184008714102,0.06965583282873238,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01000_pos,No name available,1.2473184008714102,0.06965583282873238,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01002_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01003_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01004_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01006_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01007_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01008_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01010_neg,No name available,-0.31514431663814346,0.7961139316414563,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01010_pos,No name available,0.24568900480401087,0.5197673762262658,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01011_neg,No name available,1.2642597620304863,0.1016320232379835,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01013_pos,No name available,-0.48653683740405024,0.5862778227443934,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01014_pos,No name available,1.2642597620304863,0.1016320232379835,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01015_pos,No name available,-0.9100785198891302,0.22140435206212575,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01016_pos,No name available,1.2141289528487096,0.12740389581935602,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01017_pos,No name available,1.2473184008714102,0.06965583282873238,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01018_pos,No name available,1.2473184008714102,0.06965583282873238,False,Alox5,1,1.13.11.34
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01020_neg,No name available,-0.4849507137790953,0.5862778227443934,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01020_pos,No name available,1.7368601977601807,0.013156634822295656,True,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01021_neg,No name available,1.2642597620304863,0.1016320232379835,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01022_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01023_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01025_neg,No name available,2.6885720142756733,0.0016069986658221952,True,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01025_pos,No name available,1.7368601977601807,0.013156634822295656,True,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01026_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01027_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01028_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01029_pos,arachidonate:oxygen 12-oxidoreductase,-2.4915765447556373,0.003587016951612497,True,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01030_pos,arachidonate:oxygen 12-oxidoreductase,-2.6730150921930065,0.002268703998807805,True,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01033_pos,arachidonate:oxygen 12-oxidoreductase,-0.08096156609053069,0.9177033047207391,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01034_pos,arachidonate:oxygen 12-oxidoreductase,1.2473184008714102,0.06965583282873238,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01037_pos,No name available,-0.17604566765181778,1.0,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01039_pos,No name available,-0.08096156609053069,0.9177033047207391,False,Alox12,1,1.13.11.31
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01041_pos,12-HPETE hydroxymutase,1.2473184008714102,0.06965583282873238,False,,0,5.4.4.-
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01043_pos,12-HPETE hydroxymutase,1.247318400871393,0.06965583282873238,False,Gpx1; Gpx2; Gpx3; Gpx4; Gpx5; Gpx6; Gpx7; Gpx8; Prdx6,9,1.11.1.9
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01045_neg,12-HPETE hydroxymutase,-0.07732628624298751,1.0,False,Gpx1; Gpx2; Gpx3; Gpx4; Gpx5; Gpx6; Gpx7; Gpx8; Prdx6,9,1.11.1.9
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01045_pos,12-HPETE hydroxymutase,-2.7803754166088708,0.002268703998807805,True,Gpx1; Gpx2; Gpx3; Gpx4; Gpx5; Gpx6; Gpx7; Gpx8; Prdx6,9,1.11.1.9
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01048_pos,12-HPETE hydroxymutase,1.2473184008714102,0.06965583282873238,False,Gpx1; Gpx2; Gpx3; Gpx4; Gpx5; Gpx6; Gpx7; Gpx8; Prdx6,9,1.11.1.9
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01049_pos,12-HPETE hydroxymutase,1.2473184008714102,0.06965583282873238,False,Gpx1; Gpx2; Gpx3; Gpx4; Gpx5; Gpx6; Gpx7; Gpx8; Prdx6,9,1.11.1.9
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01050_pos,No name available,1.2473184008714102,0.06965583282873238,False,Gm3776; Gsta1; Gsta2; Gsta5; Gstk1; Gstm2; Gstm4; Gstm5; Gstm7; Gsto1; Gsto2; Gstp1; Gstp2; Gstt2; Gstz1; Hpgds; Mgst1; Mgst2; Mgst3; Ptges,20,2.5.1.18
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01054_pos,No name available,1.2473184008714102,0.06965583282873238,False,Gm3776; Gsta1; Gsta2; Gsta5; Gstk1; Gstm2; Gstm4; Gstm5; Gstm7; Gsto1; Gsto2; Gstp1; Gstp2; Gstt2; Gstz1; Hpgds; Mgst1; Mgst2; Mgst3; Ptges,20,2.5.1.18
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01055_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01057_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01058_pos,No name available,1.2473184008714102,0.06965583282873238,False,Ephx1; Ephx2,2,3.3.2.9;3.3.2.10
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01059_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp4f14; Cyp4f18; Cyp4f39; Cyp4f40,4,1.14.13.30
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01061_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp4f14; Cyp4f18; Cyp4f39; Cyp4f40,4,1.14.13.30
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR01062_pos,Arachidonate:oxygen 8-oxidoreductase,1.2473184008714102,0.06965583282873238,False,Alox12,1,1.13.11.31
